entry_time,exit_time,symbol,entry_price,exit_price,pump_2h_pct,pnl_pct,min_price_hold,max_price_hold,mfe_pct,mae_pct
2026-07-10T23:29:06.717611+09:00,2026-07-11T07:30:10.598441+09:00,SKLUSDT,0.005377,0.004979,55.4,7.2,0.004782,0.005458,11.07,-1.51
2026-07-11T21:01:41.720095+09:00,2026-07-12T05:05:31.939054+09:00,PYRUSDT,0.211,0.211,63.0,-0.2,0.211,0.211,0.0,0.0
