entry_time,exit_time,symbol,price_chg_pct,oi_chg_pct,entry_price,exit_price,pnl_pct,mfe_pct,mae_pct,reason
2026-08-15T16:14:07.322571+09:00,2026-08-15T20:46:25.270779+09:00,ACEUSDT,16.3,-12.7,0.29474,0.21178,28.15,34.99,0.0,트레일(최고35%→28%)
2026-08-15T22:10:41.214558+09:00,2026-08-16T01:34:44.900519+09:00,MOVRUSDT,18.6,-0.2,0.995,0.924,7.14,16.28,-1.01,트레일(최고16%→7%)
2026-08-15T18:58:09.168892+09:00,2026-08-17T18:55:58.917933+09:00,WALUSDT,22.3,-1.2,0.02538,0.02123,16.35,16.43,-9.34,48h만기
2026-08-17T03:30:39.734598+09:00,2026-08-18T21:35:41.069896+09:00,APRUSDT,20.4,-3.9,0.2227,0.1969,11.59,20.3,0.0,트레일(최고20%→12%)
2026-08-18T06:45:26.520305+09:00,2026-08-20T06:44:38.866608+09:00,BULLAUSDT,16.1,-1.0,0.02066,0.017904,13.34,14.1,0.0,48h만기
2026-08-20T22:52:07.886031+09:00,2026-08-21T05:28:29.908804+09:00,ONGUSDT,19.8,-4.8,0.07458,0.11171,-49.79,0.0,-49.79,스탑-40%
2026-08-21T14:37:24.327660+09:00,2026-08-23T14:39:02.673300+09:00,NEIROUSDT,15.5,-0.2,0.00010346,8.838e-05,14.58,16.12,-11.35,48h만기
2026-08-21T21:35:19.171626+09:00,2026-08-23T21:36:38.863731+09:00,ZORAUSDT,18.4,-0.3,0.006923,0.00689,0.48,14.1,-3.83,48h만기
2026-08-26T15:14:55.123174+09:00,2026-08-26T22:50:52.140811+09:00,TACUSDT,16.8,-2.8,0.003115,0.004549,-46.04,1.51,-46.04,스탑-40%
2026-08-26T22:22:22.529791+09:00,2026-08-26T23:19:48.519485+09:00,ONGUSDT,16.9,-8.3,0.11841,0.16874,-42.5,0.0,-42.5,스탑-40%
2026-08-25T21:35:40.384986+09:00,2026-08-27T21:38:19.948460+09:00,SQDUSDT,15.5,-2.7,0.03622,0.0342,5.58,13.14,-1.79,48h만기
2026-08-26T23:30:45.113325+09:00,2026-08-28T23:37:40.872697+09:00,LSKUSDT,15.8,-3.5,0.11258,0.0961,14.64,17.14,0.0,48h만기
2026-08-27T18:21:21.908450+09:00,2026-08-29T11:28:03.571463+09:00,TUTUSDT,16.2,-1.2,0.06102,0.04146,32.06,38.3,-4.49,트레일(최고38%→32%)
