entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-07T12:39:09.777227+09:00,2026-07-07T14:14:14.842363+09:00,SLX,0.30,6949981,69.3,304,293,306,-3.62,95,손절-3.0%
2026-07-07T09:46:40.393090+09:00,2026-07-07T14:15:16.403913+09:00,XLM,0.00,7615389,31.3,300,291,301,-3.00,269,손절-3.0%
2026-07-07T09:46:40.470108+09:00,2026-07-07T14:20:26.981739+09:00,WLD,0.21,5166801,24.5,607,588,611,-3.13,274,손절-3.0%
2026-07-07T11:13:25.615405+09:00,2026-07-07T15:16:55.280364+09:00,BASED,0.17,7457392,21.3,140,135,141,-3.57,243,손절-3.0%
2026-07-07T09:46:40.579973+09:00,2026-07-07T15:39:06.591837+09:00,ID,0.03,7582614,32.0,59.33,59.32,62.47,-0.02,352,트레일(고점+5.3%)
2026-07-07T14:15:16.342138+09:00,2026-07-07T16:06:08.867824+09:00,BEL,0.29,4720979,8.6,176,170,180,-3.41,111,손절-3.0%
2026-07-07T15:51:35.563602+09:00,2026-07-07T16:49:23.037834+09:00,ID,0.20,4058254,57.2,59.87,58.01,60.06,-3.11,58,손절-3.0%
2026-07-07T16:38:17.211937+09:00,2026-07-07T17:01:30.870645+09:00,OPG,0.15,6522208,31.1,223,215,223,-3.59,23,손절-3.0%
2026-07-07T10:44:00.579477+09:00,2026-07-07T17:20:54.457746+09:00,GNO,0.27,4032033,60.5,348300,336900,361700,-3.27,397,손절-3.0%
2026-07-07T10:07:43.621053+09:00,2026-07-07T17:34:24.184756+09:00,BILL,0.14,7358009,147.2,63.11,64.76,68,+2.61,447,트레일(고점+7.7%)
2026-07-07T12:05:22.509466+09:00,2026-07-07T17:34:45.148016+09:00,GWEI,0.25,5682106,12.2,204,197,206,-3.43,329,손절-3.0%
2026-07-07T17:44:46.280003+09:00,2026-07-07T18:04:48.096415+09:00,UP,0.22,5554539,217.8,93.97,91,93.97,-3.16,20,손절-3.0%
2026-07-07T12:42:15.736705+09:00,2026-07-07T18:18:16.786018+09:00,LIT,0.30,9708250,88.8,3785,3659,3910,-3.33,336,손절-3.0%
2026-07-07T10:47:45.209241+09:00,2026-07-07T19:47:32.221498+09:00,ADA,0.25,8250000,27.4,275,266,276,-3.27,540,손절-3.0%
2026-07-07T14:23:33.352181+09:00,2026-07-07T19:56:33.331828+09:00,SC,0.06,5130299,528.9,0.9768,0.9463,1.002,-3.12,333,손절-3.0%
2026-07-07T14:18:22.416076+09:00,2026-07-07T20:04:31.786894+09:00,ALICE,0.12,3120893,18.1,196,196,206,+0.00,346,트레일(고점+5.1%)
2026-07-07T14:42:13.670048+09:00,2026-07-07T20:13:53.061942+09:00,SLX,0.29,8000000,13.4,297,288,298,-3.03,332,손절-3.0%
2026-07-07T14:30:06.980458+09:00,2026-07-07T20:29:06.789315+09:00,EDGEX,0.30,4320690,8.4,474,476,505,+0.42,359,트레일(고점+6.5%)
2026-07-07T14:15:37.077644+09:00,2026-07-07T20:32:13.443199+09:00,RPL,0.03,3468109,53.0,2631,2757,2893,+4.79,377,트레일(고점+10.0%)
