pump_id,coin,entry_ts,entry_price,exit_ts,exit_price,exit_reason,hold_sec,pnl_pct,slippage
363,SD,1779206450.0,263.0,1779206521.0,261.0,시간초과,71,-0.012604562737642586,0.0
365,EDEN,1779213772.0,124.0,1779213794.0,126.0,시간초과,22,0.011129032258064515,0.0
367,PROMPT,1779225048.0,60.67,1779225380.0,60.84,시간초과,332,-0.002197956156255123,0.0
369,PROVE,1779235792.0,345.0,1779235935.0,338.0,시간초과,143,-0.025289855072463768,0.0
370,SD,1779242897.0,251.0,1779242926.0,253.0,시간초과,29,0.0029681274900398404,0.0
374,PONKE,1779254376.0,62.27,1779254425.0,58.44,손절,49,-0.06650634334350418,0.0
380,EDEN,1779304361.0,170.0,1779304760.0,167.0,시간초과,399,-0.022647058823529412,0.0
382,AVL,1779361427.0,52.11,1779361966.0,52.16,시간초과,539,-0.0040404912684705975,0.0
384,YB,1779370339.0,178.0,1779370379.0,180.0,시간초과,40,0.006235955056179775,0.0
387,OXT,1779377148.0,17.35,1779377265.0,17.24,시간초과,117,-0.01134005763688778,0.0
388,AGI,1779378941.0,12.37,1779379051.0,12.2,시간초과,110,-0.018742926434923198,0.0
390,AVL,1779380113.0,57.94,1779380545.0,58.23,시간초과,432,5.1777701069923715e-06,0.0
392,PONKE,1779381726.0,55.94,1779381766.0,58.15,익절,40,0.03450661422953166,0.0
398,BOB,1779437546.0,14.21,1779437586.0,14.33,시간초과,40,0.0034447572132300644,0.0
399,XTER,1779437787.0,27.64,1779437855.0,28.18,시간초과,68,0.014536903039073772,0.0
405,SUNDOG,1779464022.0,11.2,1779464022.0,11.2,시간초과,0,-0.005,0.0
406,SYRUP,1779464392.0,522.0,1779464413.0,422.0,손절,21,-0.19657088122605365,0.0
407,MAY,1779464443.0,9.2,1779465006.0,9.162,시간초과,563,-0.00913043478260853,0.0
408,YFI,1779464503.0,3745000.0,1779465045.0,3690000.0,시간초과,542,-0.019686248331108144,0.0
409,GNO,1779464694.0,179500.0,1779464865.0,174000.0,손절,171,-0.03564066852367688,0.0
410,ALLO,1779464991.0,147.0,1779465435.0,149.0,시간초과,444,0.008605442176870749,0.0
411,SUNDOG,1779465348.0,11.72,1779465519.0,11.77,시간초과,171,-0.0007337883959045279,0.0
414,GMT,1779516257.0,17.77,1779516297.0,16.86,손절,40,-0.05620990433314576,0.0
415,PUFFER,1779522624.0,38.73,1779522676.0,36.65,손절,52,-0.05870513813581199,0.0
420,GRACY,1779547614.0,14.5,1779547915.0,14.48,시간초과,301,-0.006379310344827557,0.0
421,BOB,1779549178.0,13.94,1779549198.0,14.01,시간초과,20,2.1520803443348877e-05,0.0
423,BOB,1779549178.0,13.94,1779549550.0,14.22,시간초과,372,0.015086083213773395,0.0
426,RESOLV,1779550223.0,58.89,1779550304.0,55.82,손절,81,-0.057131091866191204,0.0
427,PEAQ,1779550344.0,47.51,1779550735.0,51.05,익절,391,0.06951062934119132,0.0
428,ID,1779550354.0,47.68,1779550837.0,46.3,손절,483,-0.03394295302013428,0.0
430,GHX,1779551289.0,12.48,1779551680.0,12.62,시간초과,391,0.006217948717948621,0.0
436,GHX,1779590309.0,14.32,1779590389.0,13.91,손절,80,-0.033631284916201126,0.0
437,SWAP,1779591330.0,84.0,1779591661.0,81.29,손절,331,-0.037261904761904684,0.0
438,GHX,1779591862.0,14.73,1779592141.0,14.81,시간초과,279,0.00043109300746775776,0.0
439,STAT,1779593515.0,59.25,1779593545.0,57.98,손절,30,-0.026434599156118198,0.0
442,STAT,1779597861.0,62.31,1779598298.0,63.04,시간초과,437,0.006715615471031886,0.0
443,GHX,1779598774.0,15.18,1779598856.0,15.08,시간초과,82,-0.011587615283267433,0.0
