entry_time,exit_time,coin,entry_price,exit_price,sl_pct,trail_pct,arm_pct,measured_vol_pct,margin_usdt,pnl_pct,pnl_usdt,reason,live
2026-07-17T16:01:36.615170+09:00,2026-07-21T17:41:11.069470+09:00,DEXE,35.99,34.62,20.0,25.0,15.0,13.62,20.0,-3.81,0.0,트레일(고점+30.1%→-3.8%),False
2026-07-17T16:07:34.690687+09:00,2026-08-14T08:40:39.350332+09:00,ETH,1915.752386759582,1886.14,8.0,10.0,6.0,4.21,220.0,-1.55,-6.8,사용자요청 즉시정리(담보회수),True
2026-07-19T09:38:45.201939+09:00,2026-08-20T06:04:47.406123+09:00,LTC,46.732682667799494,46.82,8.0,10.0,6.0,3.57,220.0,0.19,0.82,"수익전환 정리(사용자요청, 담보회수)",True
