entry_time,exit_time,coin,entry_price,exit_price,sl_pct,trail_pct,arm_pct,measured_vol_pct,margin_usdt,pnl_pct,pnl_usdt,reason,live
2026-07-13T14:31:36.249254+09:00,2026-07-14T01:43:41.925907+09:00,UNI,3.489,3.597,3.0,3.0,4.0,0.34,50.0,-3.1,-3.1,손절+3.0%,True
2026-07-13T13:50:38.933575+09:00,2026-07-14T13:45:49.790350+09:00,SNX,0.228,0.235,3.0,3.0,4.0,0.81,20.0,-3.07,-1.23,손절+3.0%,True
2026-07-14T13:16:35.110608+09:00,2026-07-15T02:17:02.616454+09:00,PARTI,0.0316,0.0307,3.0,3.0,4.0,0.46,30,2.85,1.71,트레일(저점-5.7%→+2.8%),True
2026-07-15T17:54:13.662582+09:00,2026-07-15T19:02:56.741725+09:00,DEXE,36.728,38.246,3.81,3.05,4.0,1.52,100,-4.13,-8.27,손절+3.8%,True
2026-07-16T08:49:09.710493+09:00,2026-07-16T14:24:10.504341+09:00,ONDO,0.364,0.3751,3.0,3.0,4.0,0.73,30,-3.05,-1.83,손절+3.0%,True
2026-07-17T08:35:53.585397+09:00,2026-07-17T12:25:02.026374+09:00,ZEC,527.12,543.67,3.0,3.0,4.0,0.43,30,-3.14,-1.88,손절+3.0%,True
