entry_time,exit_time,symbol,entry_price,exit_price,mom_pct_at_entry,btc_mom_pct_at_entry,notional_usdt,pnl_pct,pnl_usdt,reason,mfe_pct,mae_pct
2026-08-17T20:32:40.143232+09:00,2026-08-18T02:44:17.623976+09:00,CSPRUSDT,4.344,4.492,63.68,,30.0,3.41,1.02,랭크아웃(Top3이탈),3.41,-0.0
2026-08-17T20:32:40.138236+09:00,2026-08-18T08:44:17.680642+09:00,ACEUSDT,271.0,214.0,144.14,,30.0,-21.03,-6.31,스탑-20%,0.0,-21.03
2026-08-17T20:32:40.140577+09:00,2026-08-19T14:45:58.414842+09:00,BICOUSDT,31.31,24.79,80.25,,30.0,-20.82,-6.25,스탑-20%,0.0,-20.82
2026-08-18T08:44:59.026013+09:00,2026-08-20T08:09:03.943319+09:00,ACEUSDT,214.0,260.0,111.88,,30.0,21.5,6.45,트레일(최고48%→21%),48.13,-0.0
2026-08-18T02:44:18.741206+09:00,2026-08-21T17:34:07.883340+09:00,PUMPUSDT,4.024,5.318,65.32,,30.0,32.16,9.65,랭크아웃(Top3이탈),33.28,-3.6
2026-08-20T08:10:08.960648+09:00,2026-08-21T23:34:10.861096+09:00,ACEUSDT,260.0,310.0,173.14,4.11,30.0,19.23,5.77,트레일(최고37%→19%),36.92,-0.77
2026-08-21T23:34:29.102200+09:00,2026-08-22T05:34:29.667029+09:00,PUMPUSDT,5.622,5.449,93.46,17.41,30.0,-3.08,-0.92,랭크아웃(Top3이탈),0.0,-3.08
2026-08-22T05:34:31.517964+09:00,2026-08-22T17:35:01.892667+09:00,ONGUSDT,117.0,115.0,94.03,17.57,30.0,-1.71,-0.51,랭크아웃(Top3이탈),2.56,-1.71
2026-08-19T20:08:58.038201+09:00,2026-08-22T23:35:02.036947+09:00,HEMIUSDT,11.16,13.51,80.09,-2.13,30.0,21.06,6.32,트레일(최고36%→21%),36.47,-0.0
2026-08-21T23:34:29.061366+09:00,2026-08-23T05:35:30.761984+09:00,ACEUSDT,310.0,324.0,235.97,17.41,30.0,4.52,1.35,트레일(최고24%→5%),23.55,-0.97
2026-08-22T23:35:31.818858+09:00,2026-08-25T05:37:40.316902+09:00,HEMIUSDT,13.51,11.53,99.94,15.94,30.0,-14.66,-4.4,랭크아웃(Top3이탈),0.0,-14.66
2026-08-22T23:35:31.821678+09:00,2026-08-25T11:37:44.367407+09:00,PUMPUSDT,6.072,6.42,97.91,15.94,30.0,5.73,1.72,랭크아웃(Top3이탈),19.5,-0.0
2026-08-25T05:37:42.164626+09:00,2026-08-26T02:54:13.321649+09:00,TAVAUSDT,4.157,3.742,124.1,18.35,30.0,-9.98,-2.99,랭크아웃(Top3이탈),12.77,-9.98
2026-08-23T11:36:10.393293+09:00,2026-08-26T20:14:44.789679+09:00,ACEUSDT,321.0,302.0,240.91,16.02,30.0,-5.92,-1.78,랭크아웃(Top3이탈),1.25,-11.21
2026-08-26T02:54:14.409018+09:00,2026-08-27T02:26:45.775720+09:00,AGIUSDT,10.29,8.822,135.9,19.07,30.0,-14.27,-4.28,랭크아웃(Top3이탈),10.98,-14.27
2026-08-27T02:26:46.823760+09:00,2026-08-27T08:26:48.053196+09:00,OBSRUSDT,0.9625,0.7614,153.16,19.05,30.0,-20.89,-6.27,스탑-20%,0.0,-20.89
2026-08-27T08:27:32.166702+09:00,2026-08-27T14:27:33.508468+09:00,COSUSDT,0.6455,0.5968,159.03,19.47,30.0,-7.54,-2.26,랭크아웃(Top3이탈),0.0,-7.54
2026-08-25T11:37:59.327842+09:00,2026-08-27T20:27:33.558132+09:00,ONGUSDT,111.0,165.0,87.56,18.53,30.0,48.65,14.59,트레일(최고171%→49%),171.17,-0.0
2026-08-27T20:28:10.818271+09:00,2026-08-28T02:28:11.909693+09:00,LMUSDT,1.675,1.172,164.07,20.65,30.0,-30.03,-9.01,스탑-20%,0.0,-30.03
2026-08-28T02:28:12.997812+09:00,2026-08-28T14:28:33.581979+09:00,AGIUSDT,9.286,8.555,112.64,21.67,30.0,-7.87,-2.36,랭크아웃(Top3이탈),2.84,-7.87
2026-08-28T20:28:59.501447+09:00,2026-08-29T04:16:06.961563+09:00,PUMPUSDT,6.595,6.438,102.99,20.53,30.0,-2.38,-0.71,랭크아웃(Top3이탈),0.0,-2.38
2026-08-26T20:26:44.663322+09:00,2026-08-29T11:14:41.837220+09:00,BTRUSDT,79.1,213.0,165.26,19.58,30.0,169.28,50.78,트레일(최고201%→169%),200.88,-0.0
2026-08-29T04:16:08.086512+09:00,2026-08-29T11:14:43.172648+09:00,HEMIUSDT,15.55,15.62,99.46,18.26,30.0,0.45,0.14,랭크아웃(Top3이탈),0.45,-0.0
2026-08-29T11:14:44.210598+09:00,2026-08-29T17:14:46.434132+09:00,MAPOUSDT,2.747,2.522,117.5,17.67,30.0,-8.19,-2.46,랭크아웃(Top3이탈),0.0,-8.19
