entry_time,exit_time,symbol,source,notice_delay_sec,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-07T13:40:02.117815+09:00,2026-07-07T13:43:22.396974+09:00,OPG,upbit,8.6,256,268,281,+4.69,3,트레일(고점+9.8%)
2026-07-17T16:31:45.084333+09:00,2026-07-17T16:42:25.990109+09:00,AERO,binance,96.3,778,791,830,+1.67,11,트레일(고점+6.7%)
2026-07-18T00:47:01.039040+09:00,2026-07-18T06:23:26.500664+09:00,AERO,binance,99.8,720,698,747,-3.06,336,손절-3.0%
2026-07-26T09:56:22.448304+09:00,2026-07-26T09:56:42.626274+09:00,EUL,upbit,6.2,3611,3372,3611,-6.62,0,손절-3.0%
2026-08-04T13:30:32.692384+09:00,2026-08-04T13:51:20.330644+09:00,HOME,upbit,9.6,12.8,12.24,13.4,-4.38,21,손절-3.0%
2026-08-07T00:56:31.445839+09:00,2026-08-07T07:30:10.727319+09:00,HOME,upbit,9.6,13.71,13.29,14.01,-3.06,394,손절-3.0%
2026-08-07T00:56:31.476803+09:00,2026-08-07T09:31:31.619330+09:00,QUID,upbit,9.6,140,135,144,-3.57,515,손절-3.0%
2026-08-07T00:56:31.307935+09:00,2026-08-07T10:06:42.494222+09:00,EUL,upbit,6.2,1841,1776,1868,-3.53,550,손절-3.0%
